teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
CLE,107,IND,124,Loss,Home,28,33,24,22,0,0,0,0,30,32,30,32,0,0,0,0
PHI,119,ATL,109,Win,Home,34,25,34,26,0,0,0,0,25,32,36,16,0,0,0,0
WAS,116,PHO,122,Loss,Home,32,32,26,26,0,0,0,0,15,37,35,35,0,0,0,0
BOS,113,SAC,86,Win,Home,27,31,31,24,0,0,0,0,24,21,15,26,0,0,0,0
MIA,97,CHI,91,Win,Home,27,22,18,30,0,0,0,0,17,30,17,27,0,0,0,0
MEM,99,ORL,101,Loss,Home,26,28,21,24,0,0,0,0,23,31,27,20,0,0,0,0
NO,98,MIN,104,Loss,Home,28,26,23,21,0,0,0,0,31,34,18,21,0,0,0,0
NY,97,HOU,119,Loss,Home,27,21,26,23,0,0,0,0,24,36,40,19,0,0,0,0
DEN,129,TOR,111,Win,Home,34,26,43,26,0,0,0,0,19,27,25,40,0,0,0,0
UTA,112,POR,103,Win,Home,22,17,25,30,18,0,0,0,20,19,30,25,9,0,0,0
LAC,119,DAL,98,Win,Home,32,34,29,24,0,0,0,0,29,19,29,21,0,0,0,0
SA,92,GS,112,Loss,Home,33,22,23,14,0,0,0,0,24,26,34,28,0,0,0,0
POR,113,LAL,110,Win,Home,41,25,21,26,0,0,0,0,25,37,23,25,0,0,0,0
DET,105,MIL,96,Win,Home,28,31,23,23,0,0,0,0,26,22,24,24,0,0,0,0
ORL,83,CHI,105,Loss,Home,26,19,15,23,0,0,0,0,28,16,29,32,0,0,0,0
PHI,121,IND,110,Win,Home,30,26,36,29,0,0,0,0,28,35,26,21,0,0,0,0
WAS,122,CLE,130,Loss,Home,36,30,27,29,0,0,0,0,42,32,30,26,0,0,0,0
ATL,104,HOU,119,Loss,Home,25,26,25,28,0,0,0,0,36,33,28,22,0,0,0,0
NY,120,PHO,107,Win,Home,32,33,27,28,0,0,0,0,19,31,26,31,0,0,0,0
DAL,94,NO,99,Loss,Home,25,21,17,31,0,0,0,0,28,27,20,24,0,0,0,0
SA,108,CHA,101,Win,Home,25,24,31,28,0,0,0,0,19,26,26,30,0,0,0,0
DEN,95,MIA,94,Win,Home,28,23,25,19,0,0,0,0,37,21,13,23,0,0,0,0
UTA,100,TOR,109,Loss,Home,26,28,28,18,0,0,0,0,29,24,36,20,0,0,0,0
OKC,94,BOS,101,Loss,Home,31,24,16,23,0,0,0,0,18,19,30,34,0,0,0,0
LAL,124,BKN,112,Win,Home,30,34,31,29,0,0,0,0,29,26,29,28,0,0,0,0
LAC,104,MEM,113,Loss,Home,25,31,24,24,0,0,0,0,27,33,27,26,0,0,0,0
DET,108,SAC,99,Win,Home,29,23,33,23,0,0,0,0,26,23,25,25,0,0,0,0
CHI,90,NO,96,Loss,Home,19,19,26,19,7,0,0,0,17,21,19,26,13,0,0,0
MIN,112,DAL,99,Win,Home,27,32,34,19,0,0,0,0,18,31,20,30,0,0,0,0
DEN,108,GS,127,Loss,Home,23,32,21,32,0,0,0,0,36,24,43,24,0,0,0,0
CLE,115,ATL,117,Loss,Home,28,17,33,37,0,0,0,0,37,17,37,26,0,0,0,0
LAC,101,MIA,104,Loss,Home,20,29,17,35,0,0,0,0,34,28,27,15,0,0,0,0
ORL,88,BOS,104,Loss,Home,20,18,31,19,0,0,0,0,22,27,28,27,0,0,0,0
TOR,96,WAS,107,Loss,Home,17,29,30,20,0,0,0,0,32,30,22,23,0,0,0,0
HOU,137,UTA,110,Win,Home,39,28,48,22,0,0,0,0,28,21,36,25,0,0,0,0
SA,112,PHO,95,Win,Home,28,23,34,27,0,0,0,0,20,35,13,27,0,0,0,0
NY,108,IND,101,Win,Home,25,24,23,36,0,0,0,0,33,29,22,17,0,0,0,0
MIN,112,CHA,94,Win,Home,28,40,29,15,0,0,0,0,28,23,28,15,0,0,0,0
POR,103,OKC,99,Win,Home,28,22,28,25,0,0,0,0,20,26,21,32,0,0,0,0
LAL,107,MEM,102,Win,Home,27,35,26,19,0,0,0,0,24,30,16,32,0,0,0,0
ATL,107,BOS,110,Loss,Home,25,29,21,32,0,0,0,0,26,28,28,28,0,0,0,0
PHO,92,BKN,98,Loss,Home,19,22,27,24,0,0,0,0,28,19,25,26,0,0,0,0
GS,97,MIA,80,Win,Home,22,28,25,22,0,0,0,0,21,16,20,23,0,0,0,0
CLE,124,MIL,119,Win,Home,39,26,29,30,0,0,0,0,28,39,23,29,0,0,0,0
IND,112,NO,117,Loss,Home,37,38,19,18,0,0,0,0,34,27,35,21,0,0,0,0
WAS,99,DAL,113,Loss,Home,34,19,23,23,0,0,0,0,36,28,26,23,0,0,0,0
NY,118,CHA,113,Win,Home,32,26,25,35,0,0,0,0,41,28,25,19,0,0,0,0
TOR,119,CHI,114,Win,Home,29,36,33,21,0,0,0,0,26,19,36,33,0,0,0,0
SA,120,LAC,107,Win,Home,32,20,40,28,0,0,0,0,26,29,21,31,0,0,0,0
DEN,112,BKN,104,Win,Home,28,29,36,19,0,0,0,0,21,25,27,31,0,0,0,0
UTA,97,PHI,104,Loss,Home,21,23,27,26,0,0,0,0,32,14,34,24,0,0,0,0
POR,97,MEM,98,Loss,Home,21,29,21,26,0,0,0,0,23,24,27,24,0,0,0,0
SAC,94,OKC,86,Win,Home,10,32,25,27,0,0,0,0,25,16,16,29,0,0,0,0
DET,114,IND,97,Win,Home,22,37,23,32,0,0,0,0,30,22,23,22,0,0,0,0
ORL,112,NY,99,Win,Home,27,27,30,28,0,0,0,0,28,22,26,23,0,0,0,0
BOS,107,LAL,96,Win,Home,33,28,26,20,0,0,0,0,16,36,29,15,0,0,0,0
PHO,115,MIA,126,Loss,Home,27,27,32,29,0,0,0,0,36,33,25,32,0,0,0,0
GS,125,MIN,101,Win,Home,22,29,44,30,0,0,0,0,22,28,26,25,0,0,0,0
WAS,111,LAL,95,Win,Home,37,32,22,20,0,0,0,0,34,22,21,18,0,0,0,0
TOR,122,NO,118,Win,Home,34,32,26,30,0,0,0,0,32,28,32,26,0,0,0,0
HOU,117,CLE,113,Win,Home,36,29,35,17,0,0,0,0,25,42,26,20,0,0,0,0
SAC,109,PHI,108,Win,Home,26,38,20,25,0,0,0,0,26,31,24,27,0,0,0,0
DEN,102,OKC,94,Win,Home,22,29,24,27,0,0,0,0,28,25,22,19,0,0,0,0
DET,111,ATL,104,Win,Home,26,31,19,35,0,0,0,0,22,19,28,35,0,0,0,0
BOS,90,CHA,87,Win,Home,11,30,23,26,0,0,0,0,26,31,19,11,0,0,0,0
CHI,87,IND,105,Loss,Home,16,19,26,26,0,0,0,0,27,18,35,25,0,0,0,0
OKC,120,LAC,111,Win,Home,30,33,31,26,0,0,0,0,31,24,31,25,0,0,0,0
PHO,112,ORL,128,Loss,Home,32,31,20,29,0,0,0,0,36,28,33,31,0,0,0,0
SA,87,MIL,94,Loss,Home,27,20,23,17,0,0,0,0,25,21,30,18,0,0,0,0
UTA,74,MIA,84,Loss,Home,22,27,8,17,0,0,0,0,25,12,20,27,0,0,0,0
POR,97,BKN,101,Loss,Home,28,24,18,27,0,0,0,0,21,25,31,24,0,0,0,0
NO,111,LAC,103,Win,Home,31,32,25,23,0,0,0,0,26,32,24,21,0,0,0,0
WAS,113,ATL,94,Win,Home,20,29,27,37,0,0,0,0,19,23,25,27,0,0,0,0
HOU,111,MEM,96,Win,Home,33,29,31,18,0,0,0,0,22,28,20,26,0,0,0,0
NY,118,SAC,91,Win,Home,32,32,26,28,0,0,0,0,23,26,17,25,0,0,0,0
DAL,104,CLE,111,Loss,Home,23,29,22,30,0,0,0,0,29,20,34,28,0,0,0,0
GS,135,PHI,114,Win,Home,32,33,36,34,0,0,0,0,28,36,21,29,0,0,0,0
MIL,98,LAL,90,Win,Home,24,27,26,21,0,0,0,0,17,32,18,23,0,0,0,0
SA,133,CHI,94,Win,Home,37,26,34,36,0,0,0,0,15,32,23,24,0,0,0,0
DEN,125,ORL,107,Win,Home,39,31,28,27,0,0,0,0,23,24,30,30,0,0,0,0
